Start,End,W
Бутовская_Улица-Горчакова,Бутовская_Бунинская-Аллея,10
Центральное-Кольцо_Окружная,Люблинско-Дмитровская_Окружная,10
Центральное-Кольцо_Окружная,МЦД-1_Окружная,1
Центральное-Кольцо_Окружная,Центральное-Кольцо_Владыкино,1
Центральное-Кольцо_Владыкино,Серпуховско-Тимирязевская_Владыкино,10
Центральное-Кольцо_Владыкино,Центральное-Кольцо_Ботанический-Сад,1
Центральное-Кольцо_Ботанический-Сад,Калужско-Рижская_Ботанический-сад,10
Центральное-Кольцо_Ботанический-Сад,Центральное-Кольцо_Ростокино,1
Центральное-Кольцо_Ростокино,Центральное-Кольцо_Белокаменная,10
Центральное-Кольцо_Белокаменная,Центральное-Кольцо_Бульвар-Рокоссовского,10
Центральное-Кольцо_Бульвар-Рокоссовского,Сокольническая_Бульвар-Рокоссовского,10
Центральное-Кольцо_Бульвар-Рокоссовского,Центральное-Кольцо_Локомотив,1
Центральное-Кольцо_Локомотив,Сокольническая_Черкизовская,10
Центральное-Кольцо_Локомотив,Центральное-Кольцо_Измайлово,1
Центральное-Кольцо_Измайлово,Арбатско-Покровская_Партизанская,10
Центральное-Кольцо_Измайлово,Центральное-Кольцо_Соколиная-Гора,1
Центральное-Кольцо_Соколиная-Гора,Центральное-Кольцо_Шоссе-Энтузиастов,10
Центральное-Кольцо_Шоссе-Энтузиастов,Калининско-Солнцевская_Шоссе-Энтузиастов,10
Центральное-Кольцо_Шоссе-Энтузиастов,Центральное-Кольцо_Андроновка,1
Центральное-Кольцо_Андроновка,Центральное-Кольцо_Нижегородская,10
Центральное-Кольцо_Нижегородская,Некрасовская_Нижегородская,10
Центральное-Кольцо_Нижегородская,Центральное-Кольцо_Новохохловская,1
Центральное-Кольцо_Новохохловская,МЦД-2_Новохохловская,10
Центральное-Кольцо_Новохохловская,Центральное-Кольцо_Угрешская,1
Центральное-Кольцо_Угрешская,Таганско-Краснопресненская_Волгоградский-проспект,10
Центральное-Кольцо_Угрешская,Центральное-Кольцо_Дубровка,1
Центральное-Кольцо_Дубровка,Люблинско-Дмитровская_Кожуховская,10
Центральное-Кольцо_Дубровка,Люблинско-Дмитровская_Дубровка,1
Центральное-Кольцо_Дубровка,Центральное-Кольцо_Автозаводская,1
Центральное-Кольцо_Автозаводская,Замоскворецкая_Автозаводская,10
Центральное-Кольцо_Автозаводская,Центральное-Кольцо_ЗИЛ,1
Центральное-Кольцо_ЗИЛ,Центральное-Кольцо_Верхние-Котлы,10
Центральное-Кольцо_Верхние-Котлы,Центральное-Кольцо_Крымская,10
Центральное-Кольцо_Крымская,Центральное-Кольцо_Площадь-Гагарина,10
Центральное-Кольцо_Площадь-Гагарина,Калужско-Рижская_Ленинский-проспект,10
Центральное-Кольцо_Площадь-Гагарина,Центральное-Кольцо_Лужники,1
Центральное-Кольцо_Лужники,Сокольническая_Спортивная,10
Центральное-Кольцо_Лужники,Центральное-Кольцо_Кутузовская,1
Центральное-Кольцо_Кутузовская,Филевская_Кутузовская,10
Центральное-Кольцо_Кутузовская,Центральное-Кольцо_Деловой-центр,1
Центральное-Кольцо_Деловой-центр,Филевская_Международная,10
Центральное-Кольцо_Деловой-центр,МЦД-1_Тестовская,1
Центральное-Кольцо_Деловой-центр,Центральное-Кольцо_Шелепиха,1
Центральное-Кольцо_Шелепиха,Большая-Кольцевая-Линия_Шелепиха,10
Центральное-Кольцо_Шелепиха,МЦД-1_Тестовская,1
Центральное-Кольцо_Шелепиха,Центральное-Кольцо_Хорошёво,1
Центральное-Кольцо_Хорошёво,Большая-Кольцевая-Линия_Хорошёвская,10
Центральное-Кольцо_Хорошёво,Таганско-Краснопресненская_Полежаевская,1
Центральное-Кольцо_Хорошёво,Центральное-Кольцо_Зорге,1
Центральное-Кольцо_Зорге,Таганско-Краснопресненская_Октябрьское-Поле,10
Центральное-Кольцо_Зорге,Центральное-Кольцо_Панфиловская,1
Центральное-Кольцо_Панфиловская,Таганско-Краснопресненская_Октябрьское-Поле,10
Центральное-Кольцо_Панфиловская,Центральное-Кольцо_Стрешнево,1
Центральное-Кольцо_Стрешнево,МЦД-2_Стрешнево,10
Центральное-Кольцо_Стрешнево,Центральное-Кольцо_Балтийская,1
Центральное-Кольцо_Балтийская,Замоскворецкая_Войковская,10
Центральное-Кольцо_Балтийская,Центральное-Кольцо_Коптево,1
Центральное-Кольцо_Коптево,Центральное-Кольцо_Лихоборы,10
Центральное-Кольцо_Окружная,Центральное-Кольцо_Лихоборы,10
Некрасовская_Электрозаводская,Арбатско-Покровская_Электрозаводская,1
Некрасовская_Электрозаводская,Некрасовская_Лефортово,10
Некрасовская_Лефортово,Некрасовская_Авиамоторная,10
Некрасовская_Авиамоторная,Калининско-Солнцевская_Авиамоторная,1
Некрасовская_Авиамоторная,Некрасовская_Нижегородская,10
Некрасовская_Нижегородская,Центральное-Кольцо_Нижегородская,1
Некрасовская_Нижегородская,Некрасовская_Стахановская,10
Некрасовская_Стахановская,Некрасовская_Окская,10
Некрасовская_Окская,Некрасовская_Юго-Восточная,10
Некрасовская_Юго-Восточная,Некрасовская_Косино,10
Некрасовская_Косино,Таганско-Краснопресненская_Лермонтовский-проспект,1
Некрасовская_Косино,Некрасовская_Улица-Дмитриевского,10
Некрасовская_Улица-Дмитриевского,Некрасовская_Лухмановская,10
Некрасовская_Лухмановская,Некрасовская_Некрасовка,10
МЦД-1_Одинцово,МЦД-1_Баковка,10
МЦД-1_Баковка,МЦД-1_Сколково,10
МЦД-1_Сколково,МЦД-1_Немчиновка,10
МЦД-1_Немчиновка,МЦД-1_Сетунь,10
МЦД-1_Сетунь,МЦД-1_Рабочий-Посёлок,10
МЦД-1_Рабочий-Посёлок,МЦД-1_Кунцево,10
МЦД-1_Кунцево,Филевская_Кунцевская,1
МЦД-1_Кунцево,Арбатско-Покровская_Кунцевская,1
МЦД-1_Кунцево,МЦД-1_Славянский-бульвар,10
МЦД-1_Славянский-бульвар,Арбатско-Покровская_Славянский-бульвар,1
МЦД-1_Славянский-бульвар,МЦД-1_Фили,10
МЦД-1_Фили,Филевская_Фили,1
МЦД-1_Фили,МЦД-1_Тестовская,10
МЦД-1_Тестовская,Центральное-Кольцо_Деловой-центр,1
МЦД-1_Тестовская,Центральное-Кольцо_Шелепиха,1
МЦД-1_Тестовская,Большая-Кольцевая-Линия_Деловой-центр,1
МЦД-1_Тестовская,Большая-Кольцевая-Линия_Шелепиха,1
МЦД-1_Тестовская,Филевская_Выставочная,1
МЦД-1_Тестовская,Филевская_Международная,1
МЦД-1_Тестовская,МЦД-1_Беговая,10
МЦД-1_Беговая,Таганско-Краснопресненская_Беговая,1
МЦД-1_Беговая,МЦД-1_Белорусская,10
МЦД-1_Белорусская,Кольцевая_Белорусская,1
МЦД-1_Белорусская,Замоскворецкая_Белорусская,1
МЦД-1_Белорусская,МЦД-1_Савёловская,10
МЦД-1_Савёловская,Большая-Кольцевая-Линия_Савёловская,1
МЦД-1_Савёловская,Серпуховско-Тимирязевская_Савеловская,1
МЦД-1_Савёловская,МЦД-1_Тимирязевская,10
МЦД-1_Тимирязевская,Серпуховско-Тимирязевская_Тимирязевская,1
МЦД-1_Тимирязевская,МЦД-1_Окружная,10
МЦД-1_Окружная,Центральное-Кольцо_Окружная,1
МЦД-1_Окружная,Люблинско-Дмитровская_Окружная,1
МЦД-1_Окружная,МЦД-1_Дегунино,10
МЦД-1_Дегунино,МЦД-1_Бескудниково,10
МЦД-1_Бескудниково,МЦД-1_Лианозово,10
МЦД-1_Лианозово,МЦД-1_Марк,10
МЦД-1_Марк,МЦД-1_Новодачная,10
МЦД-1_Новодачная,МЦД-1_Долгопрудная,10
МЦД-1_Долгопрудная,МЦД-1_Водники,10
МЦД-1_Водники,МЦД-1_Хлебниково,10
МЦД-1_Хлебниково,МЦД-1_Шереметьевская,10
МЦД-1_Шереметьевская,МЦД-1_Лобня,10
МЦД-2_Нахабино,МЦД-2_Аникеевка,10
МЦД-2_Аникеевка,МЦД-2_Опалиха,10
МЦД-2_Опалиха,МЦД-2_Красногорская,10
МЦД-2_Красногорская,МЦД-2_Павшино,10
МЦД-2_Павшино,МЦД-2_Пенягино,10
МЦД-2_Пенягино,МЦД-2_Волоколамская,10
МЦД-2_Волоколамская,Арбатско-Покровская_Волоколамская,1
МЦД-2_Волоколамская,МЦД-2_Трикотажная,10
МЦД-2_Трикотажная,МЦД-2_Тушино,10
МЦД-2_Тушино,Таганско-Краснопресненская_Тушинская,1
МЦД-2_Тушино,МЦД-2_Щукинская,10
МЦД-2_Щукинская,МЦД-2_Стрешнево,10
МЦД-2_Стрешнево,Центральное-Кольцо_Стрешнево,1
МЦД-2_Стрешнево,Замоскворецкая_Войковская,1
МЦД-2_Стрешнево,МЦД-2_Красный-Балтиец,10
МЦД-2_Красный-Балтиец,МЦД-2_Гражданская,10
МЦД-2_Гражданская,МЦД-2_Дмитровская,10
МЦД-2_Дмитровская,Серпуховско-Тимирязевская_Дмитровская,1
МЦД-2_Дмитровская,МЦД-2_Рижская,10
МЦД-2_Рижская,МЦД-2_Каланчёвская,10
МЦД-2_Каланчёвская,Кольцевая_Комсомольская,1
МЦД-2_Каланчёвская,Сокольническая_Комсомольская,1
МЦД-2_Каланчёвская,МЦД-2_Курская,10
МЦД-2_Курская,Люблинско-Дмитровская_Чкаловская,1
МЦД-2_Курская,Кольцевая_Курская,1
МЦД-2_Курская,Арбатско-Покровская_Курская,1
МЦД-2_Курская,МЦД-2_Москва-Товарная,10
МЦД-2_Москва-Товарная,Люблинско-Дмитровская_Римская,1
МЦД-2_Москва-Товарная,Калининско-Солнцевская_Площадь-Ильича,1
МЦД-2_Москва-Товарная,МЦД-2_Калитники,10
МЦД-2_Калитники,МЦД-2_Новохохловская,10
МЦД-2_Новохохловская,Центральное-Кольцо_Новохохловская,1
МЦД-2_Новохохловская,МЦД-2_Текстильщики,10
МЦД-2_Текстильщики,Таганско-Краснопресненская_Текстильщики,1
МЦД-2_Текстильщики,МЦД-2_Кубанская,10
МЦД-2_Кубанская,Люблинско-Дмитровская_Печатники,1
МЦД-2_Кубанская,МЦД-2_Депо,10
МЦД-2_Депо,МЦД-2_Перерва,10
МЦД-2_Перерва,МЦД-2_Курьяново,10
МЦД-2_Курьяново,МЦД-2_Москворечье,10
МЦД-2_Москворечье,МЦД-2_Царицыно,10
МЦД-2_Царицыно,Замоскворецкая_Царицыно,1
МЦД-2_Царицыно,МЦД-2_Покровская,10
МЦД-2_Покровская,МЦД-2_Красный-Строитель,10
МЦД-2_Красный-Строитель,МЦД-2_Битца,10
МЦД-2_Битца,МЦД-2_Бутово,10
МЦД-2_Бутово,МЦД-2_Щербинка,10
МЦД-2_Щербинка,МЦД-2_Остафьево,10
МЦД-2_Остафьево,МЦД-2_Силикатная,10
МЦД-2_Силикатная,МЦД-2_Подольск,10
